x, y, u
1.136363636363636e-02, 1.136363636363636e-02, 0.000000000000000e+00
1.136363636363636e-02, 3.409090909090909e-02, 0.000000000000000e+00
1.136363636363636e-02, 5.681818181818182e-02, 3.562704570738705e-04
1.136363636363636e-02, 7.954545454545454e-02, 1.346521310085245e-03
1.136363636363636e-02, 1.022727272727273e-01, 1.346521310085244e-03
1.136363636363636e-02, 1.250000000000000e-01, 1.346521310085245e-03
1.136363636363636e-02, 1.477272727272727e-01, 1.346521310085245e-03
1.136363636363636e-02, 1.704545454545454e-01, 1.346521310085245e-03
1.136363636363636e-02, 1.931818181818182e-01, 1.872101505509953e-03
1.136363636363636e-02, 2.159090909090909e-01, 1.872101505509952e-03
1.136363636363636e-02, 2.386363636363636e-01, 1.872101505509952e-03
1.136363636363636e-02, 2.613636363636364e-01, 2.137641144132031e-03
1.136363636363636e-02, 2.840909090909091e-01, 2.137641144132031e-03
1.136363636363636e-02, 3.068181818181818e-01, 2.160733039166475e-03
1.136363636363636e-02, 3.295454545454545e-01, 2.261895763721775e-03
1.136363636363636e-02, 3.522727272727273e-01, 2.261895763721774e-03
1.136363636363636e-02, 3.750000000000000e-01, 2.271374603137479e-03
1.136363636363636e-02, 3.977272727272727e-01, 2.277412339668984e-03
1.136363636363636e-02, 4.204545454545455e-01, 2.277412339668984e-03
1.136363636363636e-02, 4.431818181818182e-01, 2.203389494270605e-03
1.136363636363636e-02, 4.659090909090909e-01, 2.203389494270605e-03
1.136363636363636e-02, 4.886363636363636e-01, 2.203389494270605e-03
1.136363636363636e-02, 5.113636363636364e-01, 2.055065700137852e-03
1.136363636363636e-02, 5.340909090909091e-01, 2.055065700137852e-03
1.136363636363636e-02, 5.568181818181818e-01, 2.008350173446038e-03
1.136363636363636e-02, 5.795454545454546e-01, 1.846181362597901e-03
1.136363636363636e-02, 6.022727272727273e-01, 1.846181362597902e-03
1.136363636363636e-02, 6.250000000000000e-01, 1.681736597218335e-03
1.136363636363636e-02, 6.477272727272727e-01, 1.592275485145720e-03
1.136363636363636e-02, 6.704545454545454e-01, 1.592275485145720e-03
1.136363636363636e-02, 6.931818181818182e-01, 1.305166109057522e-03
1.136363636363636e-02, 7.159090909090909e-01, 1.305166109057523e-03
1.136363636363636e-02, 7.386363636363636e-01, 1.305166109057523e-03
1.136363636363636e-02, 7.613636363636364e-01, 1.008338734638058e-03
1.136363636363636e-02, 7.840909090909091e-01, 1.008338734638058e-03
1.136363636363636e-02, 8.068181818181818e-01, 9.376584000022197e-04
1.136363636363636e-02, 8.295454545454546e-01, 7.205134375641702e-04
1.136363636363636e-02, 8.522727272727273e-01, 7.205134375641701e-04
1.136363636363636e-02, 8.750000000000000e-01, 5.286205282782345e-04
1.136363636363636e-02, 8.977272727272727e-01, 4.479102158385652e-04
1.136363636363636e-02, 9.204545454545454e-01, 4.479102158385652e-04
1.136363636363636e-02, 9.431818181818182e-01, 1.868699211440234e-04
1.136363636363636e-02, 9.659090909090909e-01, 1.868699211440234e-04
1.136363636363636e-02, 9.886363636363636e-01, 1.823667095466894e-04
3.409090909090909e-02, 1.136363636363636e-02, 0.000000000000000e+00
3.409090909090909e-02, 3.409090909090909e-02, 3.562704570738696e-04
3.409090909090909e-02, 5.681818181818182e-02, 1.781352285369348e-03
3.409090909090909e-02, 7.954545454545454e-02, 2.932568376157465e-03
3.409090909090909e-02, 1.022727272727273e-01, 4.005641152865586e-03
3.409090909090909e-02, 1.250000000000000e-01, 4.039563930255733e-03
3.409090909090909e-02, 1.477272727272727e-01, 4.039563930255733e-03
